ISBN13,Book_Title,Author_Name,Publisher_House,Publication_Date,Page_Count,Language,Country,Average_Rating,Review_Volume,Is_Bestseller,Record_Status
9789697354961,Where the Crawdads Sing,Delia Owens,Simon & Schuster,2015-02-17,328.0,es,UK,3.71,4467,False,Refined
9781402418010,The Midnight Library,Matt Haig,HarperCollins,2003-06-13,716.0,en,Pakistan,1.8,4464,False,Refined
9784460967357,1984,George Orwell,Macmillan Publishers,2010-11-08,384.0,es,Australia,4.83,2757,False,Refined
9788934927891,The Catcher in the Rye,J.D. Salinger,Hachette Book Group,2014-04-02,926.0,en,India,3.14,3100,False,Refined
9781298737106,Foundation,Isaac Asimov,HarperCollins,2013-02-18,181.0,es,UK,2.52,3714,False,Refined
9782525876051,The Catcher in the Rye,J.D. Salinger,Simon & Schuster,1997-01-17,173.0,zh,Canada,3.14,2005,False,Refined
9781240251661,Sapiens,Yuval Noah Harari,Penguin Books,2011-12-19,510.0,fr,UK,1.84,4646,False,Refined
9782970753705,The Alchemist,Paulo Coelho,Simon & Schuster,2019-11-08,352.0,zh,Pakistan,2.05,4788,False,Refined
9785284391408,The Catcher in the Rye,J.D. Salinger,Hachette Book Group,2003-12-24,193.0,en,UK,1.61,1310,False,Refined
9786947530309,The Silent Patient,Alex Michaelides,Hachette Book Group,2005-02-13,641.0,fr,Pakistan,4.44,94,False,Refined
9788519962896,Sapiens,Yuval Noah Harari,Simon & Schuster,2021-02-10,400.0,de,Canada,2.81,2157,False,Refined
9784919706735,Man's Search for Meaning,Viktor Frankl,Simon & Schuster,1997-06-15,619.0,zh,Australia,1.61,1323,False,Refined
9784944899549,Man's Search for Meaning,Viktor Frankl,Hachette Book Group,2011-07-30,600.0,en,UK,4.72,2519,False,Refined
9785067116918,Dune,Frank Herbert,Penguin Books,2004-04-25,935.0,en,Pakistan,4.06,1051,False,Refined
9786633778586,Becoming,Michelle Obama,Simon & Schuster,2006-06-19,629.0,de,UK,1.99,524,False,Refined
9783527331058,The Great Gatsby,F. Scott Fitzgerald,Penguin Books,2022-12-06,824.0,en,Australia,1.27,257,False,Refined
9783084839399,The Great Gatsby,F. Scott Fitzgerald,Hachette Book Group,2020-03-07,840.0,zh,Brazil,2.89,3874,False,Refined
9788125276666,Where the Crawdads Sing,Delia Owens,Simon & Schuster,2007-02-12,520.0,de,USA,3.69,806,False,Refined
9782067970820,Where the Crawdads Sing,Delia Owens,HarperCollins,2002-01-22,559.0,es,China,1.73,3789,False,Refined
9781420514789,Fahrenheit 451,Ray Bradbury,Hachette Book Group,2025-06-15,195.0,es,Canada,2.63,3943,False,Refined
9786002078344,Project Hail Mary,Andy Weir,Penguin Books,2008-08-08,371.0,de,Germany,2.69,4552,False,Refined
9782274350418,Circe,Madeline Miller,Penguin Books,2000-02-19,853.0,zh,USA,3.99,468,False,Refined
9781676168421,Man's Search for Meaning,Viktor Frankl,Hachette Book Group,2022-07-10,971.0,es,UK,3.38,1926,False,Refined
9783553440342,Dune,Frank Herbert,Hachette Book Group,2022-06-09,529.0,zh,Brazil,3.09,2136,False,Refined
9786435772945,The Great Gatsby,F. Scott Fitzgerald,HarperCollins,1997-02-28,543.5,de,France,4.72,594,False,Refined
9785278201677,Dune,Frank Herbert,Penguin Books,2001-12-31,318.0,zh,Germany,1.53,2859,False,Refined
9782224011538,The Catcher in the Rye,J.D. Salinger,Macmillan Publishers,2001-09-30,543.5,fr,Brazil,4.94,4333,True,Refined
9784771526597,Brave New World,Aldous Huxley,Simon & Schuster,2020-12-08,209.0,zh,Canada,2.09,4954,False,Refined
9787465682673,1984,George Orwell,Simon & Schuster,2023-11-02,194.0,de,Germany,1.18,2732,False,Refined
9788325785916,1984,George Orwell,Hachette Book Group,2025-09-06,214.0,en,Canada,3.18,3024,False,Refined
9785474620894,Educated,Tara Westover,Simon & Schuster,2024-04-29,466.0,es,Australia,3.67,2897,False,Refined
9784218981849,The Hobbit,J.R.R. Tolkien,HarperCollins,2018-10-29,919.0,es,China,1.1,2721,False,Refined
9782145921803,The Great Gatsby,F. Scott Fitzgerald,Penguin Books,2008-12-15,993.0,en,India,1.89,3770,False,Refined
9781957449367,The Great Gatsby,F. Scott Fitzgerald,HarperCollins,2008-03-29,436.0,fr,UK,4.87,2286,False,Refined
9781118543408,Sapiens,Yuval Noah Harari,Simon & Schuster,2018-02-08,694.0,fr,USA,1.43,3559,False,Refined
9783196545325,The Hobbit,J.R.R. Tolkien,Macmillan Publishers,2000-04-02,294.0,fr,USA,3.84,13,False,Refined
9786859286614,Circe,Madeline Miller,Penguin Books,1996-04-27,438.0,zh,France,3.65,1020,False,Refined
9788159250505,Brave New World,Aldous Huxley,Simon & Schuster,2008-01-25,813.0,fr,Pakistan,1.51,3444,False,Refined
9786587537178,Becoming,Michelle Obama,Hachette Book Group,2026-02-05,411.0,fr,Australia,2.72,4751,False,Refined
9785659161352,Fahrenheit 451,Ray Bradbury,Hachette Book Group,1996-05-03,748.0,zh,France,1.37,1924,False,Refined
9781632880459,Circe,Madeline Miller,Penguin Books,2015-02-18,586.0,zh,UK,2.82,4715,False,Refined
9782716495971,The Alchemist,Paulo Coelho,HarperCollins,1996-09-08,804.0,en,UK,4.11,1792,False,Refined
9782995226582,Man's Search for Meaning,Viktor Frankl,Hachette Book Group,2014-12-09,968.0,en,India,1.53,3806,False,Refined
9788995059760,Foundation,Isaac Asimov,Macmillan Publishers,2014-06-28,869.0,es,Germany,4.06,4270,False,Refined
9789922723063,Fahrenheit 451,Ray Bradbury,Simon & Schuster,2015-08-07,378.0,fr,France,4.57,660,False,Refined
9784034047118,Educated,Tara Westover,Penguin Books,2007-07-04,517.0,fr,Pakistan,2.86,510,False,Refined
9787767538527,Dune,Frank Herbert,Macmillan Publishers,2025-11-07,460.0,fr,China,4.41,3432,False,Refined
9784856070374,Foundation,Isaac Asimov,Macmillan Publishers,2016-04-09,379.0,de,India,1.12,2753,False,Refined
9788904911624,Becoming,Michelle Obama,HarperCollins,1998-03-15,646.0,en,China,3.37,222,False,Refined
9781780520225,Fahrenheit 451,Ray Bradbury,Simon & Schuster,2009-02-09,435.0,es,India,2.31,3105,False,Refined
9785646751885,The Hobbit,J.R.R. Tolkien,Penguin Books,2001-12-02,153.0,fr,Australia,3.6,329,False,Refined
9784604460472,Circe,Madeline Miller,Hachette Book Group,2019-04-13,344.0,es,India,3.68,4620,False,Refined
9788588769565,1984,George Orwell,HarperCollins,1998-12-09,721.0,en,Canada,4.86,885,False,Refined
9789410288290,Dune,Frank Herbert,Macmillan Publishers,2017-03-21,177.0,zh,Australia,1.41,2470,False,Refined
9785471357886,Where the Crawdads Sing,Delia Owens,Hachette Book Group,2006-11-25,543.5,fr,UK,3.02,2795,False,Refined
9785748253283,The Alchemist,Paulo Coelho,Simon & Schuster,1997-08-09,948.0,de,Canada,2.74,4274,False,Refined
9788622026979,Sapiens,Yuval Noah Harari,Macmillan Publishers,2006-07-30,945.0,zh,Germany,2.29,2011,False,Refined
9786922713963,Fahrenheit 451,Ray Bradbury,Penguin Books,2003-12-11,971.0,fr,Canada,2.95,2906,False,Refined
9789633533290,Foundation,Isaac Asimov,HarperCollins,2022-04-11,347.0,de,India,3.22,1968,False,Refined
9781074059253,The Alchemist,Paulo Coelho,Simon & Schuster,2016-03-05,514.0,es,Germany,3.66,3023,False,Refined
9787658867789,The Hobbit,J.R.R. Tolkien,Simon & Schuster,2005-10-05,377.0,fr,Germany,1.92,1577,False,Refined
9781822662216,Becoming,Michelle Obama,Macmillan Publishers,2013-09-17,841.0,zh,Pakistan,3.39,823,False,Refined
9786065662867,The Catcher in the Rye,J.D. Salinger,Penguin Books,2002-02-26,229.0,fr,USA,4.9,4533,True,Refined
9789642614082,The Alchemist,Paulo Coelho,Simon & Schuster,2005-01-22,590.0,de,France,1.74,420,False,Refined
9784530959836,Where the Crawdads Sing,Delia Owens,Macmillan Publishers,2004-01-22,175.0,zh,USA,1.61,4610,False,Refined
9788578226896,The Great Gatsby,F. Scott Fitzgerald,Hachette Book Group,1999-05-18,909.0,zh,Australia,4.1,3116,False,Refined
9789547119184,Dune,Frank Herbert,Simon & Schuster,2000-08-10,735.0,en,Brazil,4.84,812,False,Refined
9781348697524,Circe,Madeline Miller,HarperCollins,2018-04-27,665.0,en,Canada,1.01,3690,False,Refined
9786289150149,Project Hail Mary,Andy Weir,Simon & Schuster,2005-10-01,172.0,es,Germany,4.15,4831,False,Refined
9781610900200,The Hobbit,J.R.R. Tolkien,Penguin Books,2018-09-03,911.0,fr,Brazil,4.0,4662,False,Refined
9788252816758,Fahrenheit 451,Ray Bradbury,Macmillan Publishers,2013-11-26,543.5,zh,India,2.75,4899,False,Refined
9787887897660,To Kill a Mockingbird,Harper Lee,Penguin Books,2022-01-07,334.0,zh,Brazil,4.8,2207,False,Refined
9788093179263,Becoming,Michelle Obama,Simon & Schuster,2017-12-22,699.0,de,India,4.88,3850,True,Refined
9784683935600,Where the Crawdads Sing,Delia Owens,Simon & Schuster,2007-08-26,810.0,de,Germany,3.65,3280,False,Refined
9785673181221,Fahrenheit 451,Ray Bradbury,Simon & Schuster,2011-08-13,218.0,de,Pakistan,4.3,9,False,Refined
9781232804774,The Hobbit,J.R.R. Tolkien,Hachette Book Group,2009-11-20,737.0,de,India,4.04,1667,False,Refined
9788293928340,Brave New World,Aldous Huxley,Penguin Books,2024-10-27,745.0,zh,Australia,3.84,2545,False,Refined
9785782279101,The Silent Patient,Alex Michaelides,Penguin Books,1997-01-22,952.0,es,India,4.73,2390,False,Refined
9789505085936,The Alchemist,Paulo Coelho,HarperCollins,2005-08-17,664.0,es,China,1.76,4910,False,Refined
